આફ્રિકા	Африка
અહિલ્યાબાઈ હોળકર	Ахилия Бай
અલવાર	Алвар
મહારાણા પ્રતાપ	Махарана Пратап
અષ્ટાવક્ર	Аштавакра
દુશલા	Духшала
મયાસુર	Майясура
જરાસંધ	Джарасандха
ઉલૂપી	Улупи
સુદર્શન ચક્ર	Сударшана
નિત્યાનંદ પ્રભુ	Нитьянанда
વિશ્વ માનવતા દિવસ	Всемирный день гуманитарной помощи
મુવિટોન ધ્વનિ પ્રણાલી	Мувитон (кинематограф)
ચરક સંહિતા	Чарака-самхита
બજરંગ દળ	Баджранг дал
શ્રી રામ ચરિત માનસ	Рамачаритаманаса
સ્યાદવાદ	Сьядвада
ભક્તિ વિકાસ સ્વામી	Бхакти Викаша Свами
પલવલ જિલ્લો	Палвал (округ)
ફાગણ	Пхальгуна
પંચગવ્ય	Панчагавья
ઉપ પુરાણ	Упапураны
કટોકટી કાળ (ભારત)	Чрезвычайное положение в Индии (1975—1977)
કર્ણ	Карна
કારવાર	Карвар
કૂચબિહાર જિલ્લો	Куч-Бихар (округ)
કૃતજ્ઞતા	Благодарность
કોકરાઝાર	Кокраджхар
ચન્દૌલી	Чандаули
ચન્દૌલી જિલ્લો	Чандаули (округ)
હમીરપુર, ઉત્તર પ્રદેશ	Хамирпур (город, Уттар-Прадеш)
ચામરાજનગર	Чамраджнагар
જૈમિનિ	Джаймини
દક્ષિણા	Дакшина
નિરુપા રોય	Рой, Нирупа
તલ	Кунжут индийский
મધુબની	Мадхубани
મહેબૂબનગર	Махбубнагар
માંડ્યા જિલ્લો	Мандья (округ)
વિશ્વામિત્ર	Вишвамитра
જમ્મુ	Джамму
બાદિયાન	Бадьян настоящий
શ્રેણી:સ્ટબ	Категория:Незавершённые статьи
શ્રેણી:સંસ્કૃતિ	Категория:Культура
વિરાટ	Вирата (Махабхарата)
શિશુપાલ	Шишупала
હનુમાન જયંતી	Хануман-джаянти
કણ્ણૂર જિલ્લો	Каннур (округ)
કુલ્લૂ જિલ્લો	Куллу (округ)
સોલન જિલ્લો	Солан (округ)
જામતાડા જિલ્લો	Джамтара (округ)
શિમોગા જિલ્લો	Шимога (округ)
જામનગર જિલ્લો	Джамнагар (округ)
અનંતનાગ જિલ્લો	Анантнаг (округ)
વડાપાવ	Вада пав
પીપળો	Фикус священный
પ્રાણ (અભિનેતા)	Пран
ઢાંચો:સૌરમંડળ	Шаблон:Солнечная система
આજનું અવતરણ	Quote of the day
પટ્ટાઈ	Луневые
આચાર્ય જગદીશચંદ્ર બોઝ ભારતીય વનસ્પતિ ઉદ્યાન	Индийский ботанический сад
વિકિપીડિયા:HotCat	Википедия:Гаджеты/HotCat
બોંગાઇગાંવ	Бонгайгаон
કૈલાશ સત્યાર્થી	Сатьяртхи, Кайлаш
તારા	Тара (Рамаяна)
ત્રિશૂલ	Тришула
ભારતીય સામાન્ય ચૂંટણી, ૨૦૧૪	Парламентские выборы в Индии (2014)
ઢાંચો:Location map India Gujarat	Шаблон:ПозКарта Индия Гуджарат
ઢાંચો:Location map India Jammu and Kashmir	Шаблон:ПозКарта Индия Джамму и Кашмир
વિજયનગર	Визианагарам
તુંગનાથ	Тунгнатх
ભીમ	Бхима
અશોક કુમાર	Ашок Кумар
સલગમ	Турнепс
ઢાંચો:ઉક્તિ	Шаблон:Цитата
કેરી	Манго индийское
સર્જિયો માત્તારેલા	Маттарелла, Серджо
ઢાંચો:Location map Scotland	Шаблон:ПозКарта Великобритания Шотландия
વિકિપીડિયા:પ્રબંધક	Википедия:Администраторы
શ્રેણી:વ્યક્તિત્વ	Категория:Люди
શ્રેણી:કલા	Категория:Искусство
ઇજિપ્ત	Египет
વિશ્વ હિમોફિલિયા દિવસ	Всемирный день гемофилии
બારપેટા	Барпета
વિકિપીડિયા:સંદિગ્ધ શીર્ષક	Википедия:Неоднозначность
વિકિપીડિયા:શ્રેણી	Википедия:Категоризация
રવીન્દ્ર પ્રભાત	Равиндрой Прабхата
દ્રષ્ટિ ધામી	Дхами, Драшти
વિકિપીડિયા:વિકિપરિયોજના	Википедия:Проекты
ઢાંચો:Bot	Шаблон:Bot
વિકિપીડિયા:વિકિપીડિયા શું નથી	Википедия:Чем не является Википедия
કેનેડા	Канада
વિકિપીડિયા:પ્રકાશનાધિકાર	Википедия:Авторские права
રાજસ્થાની	Раджастханцы
વાલી	Вали (Рамаяна)
એક્યુપ્રેસર	Акупрессура
ચારણ	Чаран
શ્રાદ્ધ	Шраддха
વિકિપીડિયા:પ્રબંધકોનું સૂચનપટ	Википедия:Форум администраторов
શ્રેણી:યુરોપ	Категория:Европа
વિકિપીડિયા:વર્તમાન ઘટનાઓ	Портал:Текущие события
ઢાંચો:Documentation	Шаблон:Doc
શ્રેણી:રદ કરવા માટેના પાના	Категория:Википедия:Удаление страниц
શ્રેણી:સભ્યોની ભાષાઓ	Категория:Википедия:Участники по языкам
વિકિપીડિયા:પાયાના પાંચ સિદ્ધાંત	Википедия:Пять столпов
વિકિપીડિયા:નિષ્પક્ષ દૃષ્ટિકોણ	Википедия:Нейтральная точка зрения
વિકિપીડિયા:પ્રારંભિક સંશોધન નહીં	Википедия:Недопустимость оригинальных исследований
વિકિપીડિયા:નોંધનીયતા	Википедия:Значимость
વિકિપીડિયા:બાહ્ય કડીઓ	Википедия:Внешние ссылки
અરરિયા	Арария
વિકિપીડિયા:સહીઓ	Википедия:Подписывайтесь на страницах обсуждения
વિકિપીડિયા:નોંધનીયતા (વ્યક્તિ કે લોકો)	Википедия:Критерии значимости персоналий
વિકિપીડિયા:જીવંત વ્યક્તિઓનું જીવન ચરિત્ર	Википедия:Биографии современников
વિકિપીડિયા:સભ્યનામ નીતિ	Википедия:Имена участников
મદદ:Footnotes	Википедия:Сноски
આલિયા ભટ્ટ	Бхатт, Алия
ગાય	Крупный рогатый скот
કણ્ણૂર	Каннур
ઢાંચો:Softredirect	Шаблон:Soft redirect
ઢાંચો:Delete	Шаблон:К быстрому удалению
ઢાંચો:Please leave this line alone (sandbox heading)	Википедия:Песочница/Пишите ниже
ન્યાયશાસ્ત્ર	Юриспруденция
શ્રેણી:ભાષાઓ	Категория:Языки
શ્રેણી:વિકિપીડિયા	Категория:Википедия
વિકિપીડિયા:General disclaimer	Википедия:Отказ от ответственности
શ્રેણી:તૂટી ફાઈલ કડીઓને સાથે પાના	Категория:Страницы со ссылками на отсутствующие файлы
ઢાંચો:Navbox	Шаблон:Navbox
કાંગારુ	Кенгуру
ઢાંચો:Track listing	Шаблон:Tracklist
ઢાંચો:Nutshell	Шаблон:Вкратце
ઢાંચો:Tnavbar	Шаблон:Tnavbar
ઢાંચો:Code	Шаблон:Code
ઢાંચો:0	Шаблон:0
ઢાંચો:Small	Шаблон:Small
ઢાંચો:Trunc	Шаблон:Trunc
ઢાંચો:Clear	Шаблон:Clear
ઢાંચો:Col-break	Шаблон:Столбец
ઢાંચો:Col-begin	Шаблон:Столбцы
ઢાંચો:Col-end	Шаблон:Столбцы/конец
ઢાંચો:Trim	Шаблон:Trim
ઢાંચો:Nowrap	Шаблон:Nobr
ઢાંચો:Tooltip	Шаблон:Abbr
ઢાંચો:Anchor	Шаблон:Якорь
વિકિપીડિયા:દરેક ભાષાના વિકિપીડિયામાં હોય એવા પ્રારંભિક લેખોની યાદી	Википедия:Список статей, которые должны быть во всех языковых версиях
શ્રેણી:આફ્રિકા	Категория:Африка
શ્રેણી:જુલાઇ	Категория:Июль
શ્રેણી:જૂન	Категория:Июнь
ઢાંચો:વિકિસ્રોત	Шаблон:Викитека
ઢાંચો:Babel	Шаблон:Babel
ઢાંચો:Commons	Шаблон:Commons
ઢાંચો:Reflist	Шаблон:Примечания
વિકિપીડિયા:સંદર્ભ	Википедия:Ссылки на источники
ઢાંચો:સ્ટબ	Шаблон:Заготовка
ઢાંચો:See also	Шаблон:См. также
ઢાંચો:User de	Шаблон:User de
ઢાંચો:User de-1	Шаблон:User de-1
ઢાંચો:User en-3	Шаблон:User en-3
ઢાંચો:User en-2	Шаблон:User en-2
ઢાંચો:User en-4	Шаблон:User en-4
ઢાંચો:User en	Шаблон:User en
ઢાંચો:User de-2	Шаблон:User de-2
ઢાંચો:User hi-1	Шаблон:User hi-1
ઢાંચો:User tr	Шаблон:User tr
ઢાંચો:User fr	Шаблон:User fr
ઢાંચો:Pl icon	Шаблон:Ref-pl
શ્રેણી:ફેબ્રુઆરી	Категория:Февраль
ઢાંચો:Country data Tajikistan	Шаблон:Флагификация/Таджикистан
શ્રેણી:એશિયા	Категория:Азия
શ્રેણી:ચીલી	Категория:Чили
ઢાંચો:Country data Kuwait	Шаблон:Флагификация/Кувейт
ઢાંચો:Mod	Шаблон:Mod
શ્રેણી:૧૯૧૦	Категория:1910 год
ઢાંચો:Infobox football club	Шаблон:Карточка ФК
ઢાંચો:સ્વાગત	Шаблон:Приветствие
ઢાંચો:Wikipediasister	Шаблон:Сообщество Википедии
ઢાંચો:Country data Belgium	Шаблон:Флагификация/Бельгия
ઢાંચો:Country data Slovakia	Шаблон:Флагификация/Словакия
ઢાંચો:Country data Panama	Шаблон:Флагификация/Панама
ઢાંચો:Country data Ecuador	Шаблон:Флагификация/Эквадор
ઢાંચો:Country data Ethiopia	Шаблон:Флагификация/Эфиопия
ઢાંચો:Country data Tunisia	Шаблон:Флагификация/Тунис
ઢાંચો:Country data Czech Republic	Шаблон:Флагификация/Чехия
ઢાંચો:Country data થાઈલેન્ડ	Шаблон:Флагификация/Таиланд
ઢાંચો:Country data Indonesia	Шаблон:Флагификация/Индонезия
ઢાંચો:Country data Cambodia	Шаблон:Флагификация/Камбоджа
ઢાંચો:Country data Madagascar	Шаблон:Флагификация/Мадагаскар
ઢાંચો:Country data Albania	Шаблон:Флагификация/Албания
ઢાંચો:Country data Peru	Шаблон:Флагификация/Перу
ઢાંચો:દેશ માહિતી પૅરાગ્વે	Шаблон:Флагификация/Парагвай
ઢાંચો:Country data Macau	Шаблон:Флагификация/Макао
ઢાંચો:Country data Kenya	Шаблон:Флагификация/Кения
ઢાંચો:Country data Uzbekistan	Шаблон:Флагификация/Узбекистан
ઢાંચો:દેશ માહિતી બોલીવિયા	Шаблон:Флагификация/Боливия
ઢાંચો:Country data Liechtenstein	Шаблон:Флагификация/Лихтенштейн
ઢાંચો:Country data Togo	Шаблон:Флагификация/Того
ઢાંચો:Country data Mali	Шаблон:Флагификация/Мали
ઢાંચો:Country data Moldova	Шаблон:Флагификация/Молдавия
ઢાંચો:Country data Latvia	Шаблон:Флагификация/Латвия
ઢાંચો:Football kit	Шаблон:Футбольная форма
ઢાંચો:Country data Malta	Шаблон:Флагификация/Мальта
ઢાંચો:Country data Monaco	Шаблон:Флагификация/Монако
ઢાંચો:Country data Denmark	Шаблон:Флагификация/Дания
ઢાંચો:Country data Iceland	Шаблон:Флагификация/Исландия
ઢાંચો:Country data Poland	Шаблон:Флагификация/Польша
ઢાંચો:Country data Bulgaria	Шаблон:Флагификация/Болгария
ઢાંચો:Country data Guyana	Шаблон:Флагификация/Гайана
ઢાંચો:Country data Norway	Шаблон:Флагификация/Норвегия
ઢાંચો:Country data South Africa	Шаблон:Флагификация/ЮАР
ઢાંચો:Country data Georgia	Шаблон:Флагификация/Грузия
ઢાંચો:Navbox suite	Шаблон:Навигационные шаблоны
ઢાંચો:Country data Uruguay	Шаблон:Флагификация/Уругвай
ઢાંચો:Image label	Шаблон:Метка изображения
ઢાંચો:અધિકૃત જાળસ્થળ	Шаблон:Официальный сайт
ઢાંચો:Country data Brunei	Шаблон:Флагификация/Бруней
ઢાંચો:Country data Sri Lanka	Шаблон:Флагификация/Шри-Ланка
ઢાંચો:Country data Mexico	Шаблон:Флагификация/Мексика
ઢાંચો:Country data Greece	Шаблон:Флагификация/Греция
ઢાંચો:Country data Luxembourg	Шаблон:Флагификация/Люксембург
ઢાંચો:Country data Saudi Arabia	Шаблон:Флагификация/Саудовская Аравия
ઢાંચો:માહિતીચોકઠું કેન્દ્રીય બેંક	Шаблон:Центральный банк
ઢાંચો:Country data Croatia	Шаблон:Флагификация/Хорватия
ઢાંચો:Country data Iraq	Шаблон:Флагификация/Ирак
ઢાંચો:Stub Category	Шаблон:Stub-category
ઢાંચો:Infobox television	Шаблон:Телепередача
ઢાંચો:Apple	Шаблон:Apple
ઢાંચો:Frankfurt Stock Exchange	Шаблон:FWB
ઢાંચો:માહિતીચોકઠું સંગીત કલાકાર	Шаблон:Музыкант
ઢાંચો:Country data U.S. Virgin Islands	Шаблон:Флагификация/Виргинские Острова (США)
ઢાંચો:Country data Morocco	Шаблон:Флагификация/Марокко
ઢાંચો:Country data Serbia	Шаблон:Флагификация/Сербия
ઢાંચો:Collapsible list	Шаблон:Collapsible list
ઢાંચો:Country data Australia	Шаблон:Флагификация/Австралия
ઢાંચો:Es icon	Шаблон:Ref-es
ઢાંચો:Country data France	Шаблон:Флагификация/Франция
ઢાંચો:Ambox	Шаблон:Ambox
ઢાંચો:Lead too short	Шаблон:Короткое вступление
ઢાંચો:Hide in print	Шаблон:Hide in print
ઢાંચો:Infobox magazine	Шаблон:Журнал
ઢાંચો:Infobox school	Шаблон:Школа
ઢાંચો:Refimprove	Шаблон:Refimprove
ઢાંચો:User hi-3	Шаблон:User hi-3
ઢાંચો:માહિતીચોકઠું દેશ	Шаблон:Государство
ઢાંચો:Infobox Software	Шаблон:Карточка программы
ઢાંચો:Column-count	Шаблон:Column-count
ઢાંચો:Country data Laos	Шаблон:Флагификация/Лаос
ઢાંચો:Infobox airline	Шаблон:Карточка авиакомпании
ઢાંચો:Country data Austria	Шаблон:Флагификация/Австрия
ઢાંચો:Str left	Шаблон:Str left
ઢાંચો:Country data Nepal	Шаблон:Флагификация/Непал
ઢાંચો:Str sub long	Шаблон:Str sub
ઢાંચો:Country data Finland	Шаблон:Флагификация/Финляндия
ઢાંચો:Audio	Шаблон:Audio
ઢાંચો:Flat list	Шаблон:Flatlist
ઢાંચો:Country data Egypt	Шаблон:Флагификация/Египет
ઢાંચો:Country data Lithuania	Шаблон:Флагификация/Литва
ઢાંચો:Country data Japan	Шаблон:Флагификация/Япония
ઢાંચો:Country data Netherlands	Шаблон:Флагификация/Нидерланды
ઢાંચો:Tmbox	Шаблон:Tmbox
ઢાંચો:Navbox with columns	Шаблон:Навигационная таблица с колонками
ઢાંચો:S-start	Шаблон:Start box
ઢાંચો:Nom	Шаблон:Nom
ઢાંચો:Facebook	Шаблон:Facebook
ઢાંચો:Cite paper	Шаблон:Cite journal
ઢાંચો:Country data Azerbaijan	Шаблон:Флагификация/Азербайджан
ઢાંચો:માહિતીચોકઠું કંપની	Шаблон:Карточка компании
ઢાંચો:Country data Czechoslovakia	Шаблон:Флагификация/Чехословакия
ઢાંચો:Cite news	Шаблон:Cite news
ઢાંચો:Family tree	Шаблон:Familytree
ઢાંચો:Country data Vietnam	Шаблон:Флагификация/Вьетнам
ઢાંચો:S-aft	Шаблон:S-aft
ઢાંચો:ઉમદા લેખ	Шаблон:Избранная статья
ઢાંચો:Country data Libya	Шаблон:Флагификация/Ливия
ઢાંચો:Country data Russia	Шаблон:Флагификация/Россия
શ્રેણી:પેરિસ	Категория:Париж
શ્રેણી:User en-4	Категория:User en-4
શ્રેણી:User en	Категория:User en
શ્રેણી:User en-2	Категория:User en-2
ઢાંચો:Infobox	Шаблон:Карточка
ઢાંચો:Main other	Шаблон:Main other
ઢાંચો:Str crop	Шаблон:Str crop
ઢાંચો:User zh	Шаблон:User zh
ઢાંચો:Template other	Шаблон:Template other
ઢાંચો:Legend	Шаблон:Легенда
ઢાંચો:Cite web	Шаблон:Cite web
ઢાંચો:Infobox bridge	Шаблон:Мост
ઢાંચો:Country data Italy	Шаблон:Флагификация/Италия
ઢાંચો:Ombox	Шаблон:Ombox
ઢાંચો:વિજયી	Шаблон:Награда
ઢાંચો:GeoTemplate	Шаблон:GeoTemplate
ઢાંચો:Navbar-collapsible	Шаблон:Tnavbar-collapsible
ઢાંચો:Pp-template	MediaWiki:Protectedpagetext
ઢાંચો:Wiktionary	Шаблон:Викисловарь
ઢાંચો:Country data Sweden	Шаблон:Флагификация/Швеция
ઢાંચો:Chem	Шаблон:Химическая формула
ઢાંચો:Language icon	Шаблон:Ref-lang
શ્રેણી:User hi	Категория:User hi
શ્રેણી:હિન્દી ચલચિત્ર	Категория:Фильмы Индии
ઢાંચો:પુરાતન દુનિયાની સાત અજાયબીઓ	Шаблон:Семь чудес света
ઢાંચો:Infobox settlement	Шаблон:НП
ઢાંચો:ITIS	Шаблон:ITIS
ઢાંચો:મહાભારત	Шаблон:Махабхарата
ઢાંચો:Other uses	Шаблон:Другие значения
ઢાંચો:Country data Soviet Union	Шаблон:Флагификация/СССР
ઢાંચો:Country data India	Шаблон:Флагификация/Индия
ઢાંચો:Country data Algeria	Шаблон:Флагификация/Алжир
ઢાંચો:માહિતીચોકઠું નૃવંશ સમુદાય	Шаблон:Народ
ઢાંચો:MONTHNAME	Шаблон:MONTHNAME
ઢાંચો:Category redirect	Шаблон:Переименованная категория
ઢાંચો:Country data Venezuela	Шаблон:Флагификация/Венесуэла
ઢાંચો:Infobox protected area	Шаблон:Заповедная зона
ઢાંચો:Border	Шаблон:Граница
ઢાંચો:Country data Portugal	Шаблон:Флагификация/Португалия
ઢાંચો:Country data Ireland	Шаблон:Флагификация/Ирландия
ઢાંચો:Translation/Ref	Шаблон:Источник/перевод
ઢાંચો:Top icon	Шаблон:Right-uppermost image
શ્રેણી:Country data templates	Категория:Шаблоны:Флагификация
ઢાંચો:Fmbox	Шаблон:Fmbox
ઢાંચો:Navbox with collapsible groups	Шаблон:Навигационная таблица с блоками
ઢાંચો:Country data China	Шаблон:Флагификация/Китай
ઢાંચો:Country data Benin	Шаблон:Флагификация/Бенин
ઢાંચો:Country data ENG	Шаблон:Флагификация/Англия
ઢાંચો:Family tree/end	Шаблон:Familytree/end
ઢાંચો:Country data Turkey	Шаблон:Флагификация/Турция
ઢાંચો:Country data Cyprus	Шаблон:Флагификация/Кипр
ઢાંચો:Country data Switzerland	Шаблон:Флагификация/Швейцария
વિકિપીડિયા:મારે સભ્ય શા માટે થવું જોઇએ?	Википедия:Регистрация
ઢાંચો:Country data Philippines	Шаблон:Флагификация/Филиппины
ઢાંચો:Country data Nigeria	Шаблон:Флагификация/Нигерия
ઢાંચો:Country data Belarus	Шаблон:Флагификация/Белоруссия
ઢાંચો:Country data Malaysia	Шаблон:Флагификация/Малайзия
ઢાંચો:Country data Armenia	Шаблон:Флагификация/Армения
ઢાંચો:Country data Zimbabwe	Шаблон:Флагификация/Зимбабве
ઢાંચો:Country data Timor-Leste	Шаблон:Флагификация/Восточный Тимор
ઢાંચો:Country data South Vietnam	Шаблон:Флагификация/Южный Вьетнам
ઢાંચો:Infobox dog breed	Шаблон:Порода собаки
ઢાંચો:Country data Myanmar	Шаблон:Флагификация/Мьянма
ઢાંચો:Country data Kazakhstan	Шаблон:Флагификация/Казахстан
ઢાંચો:Country data Chile	Шаблон:Флагификация/Чили
ઢાંચો:Country data Slovenia	Шаблон:Флагификация/Словения
ઢાંચો:Country data Lebanon	Шаблон:Флагификация/Ливан
ઢાંચો:માહિતીચોકઠું પુસ્તક	Шаблон:Издание
ઢાંચો:Country data Bhutan	Шаблон:Флагификация/Бутан
ઢાંચો:Tlc	Шаблон:Tlc
ઢાંચો:Country data Ceylon	Шаблон:Флагификация/Цейлон
ઢાંચો:Talkback	Шаблон:Ответ
ઢાંચો:Infobox planet	Шаблон:Карточка планеты
શ્રેણી:જાન્યુઆરી	Категория:Январь
ઢાંચો:આવર્ત કોષ્ટક	Шаблон:Периодическая система элементов
ઢાંચો:Lang-fa	Шаблон:Lang-fa
ઢાંચો:User nl	Шаблон:User nl
ઢાંચો:માહિતીચોકઠું વેબસાઇટ	Шаблон:Карточка сайта
ઢાંચો:Image label end	Шаблон:Image label end
ઢાંચો:Uncategorized	Шаблон:Нет категорий
ઢાંચો:Talk header	Шаблон:Заголовок обсуждения
ઢાંચો:Quote box	Шаблон:Quote box
ઢાંચો:માહિતીચોકઠું વિશ્વ ધરોહર સ્થળ	Шаблон:Объект Всемирного наследия
ઢાંચો:અંક પદ્ધતિ	Шаблон:Системы счисления
ઢાંચો:Infobox astronaut	Шаблон:Космонавт
ઢાંચો:Str len	Шаблон:Str len
ઢાંચો:Purge	Шаблон:Очистить кэш
ઢાંચો:Infobox sport	Шаблон:Вид спорта
ઢાંચો:MedalSport	Шаблон:ОИ-спорт
ઢાંચો:Lang-de	Шаблон:Lang-de
ઢાંચો:Empty category	Шаблон:Не удаляйте категорию
ઢાંચો:Country data Austria-Hungary	Шаблон:Флагификация/Австро-Венгрия
ઢાંચો:Location map USA	Шаблон:ПозКарта США (ортографическая)
ઢાંચો:Lang-el	Шаблон:Lang-el
ઢાંચો:વિષ્ણુ અવતારો	Шаблон:Даша-аватары Вишну
ઢાંચો:NASDAQ	Шаблон:NASDAQ
ઢાંચો:Clarify	Шаблон:Прояснить
ઢાંચો:Loremipsum	Шаблон:Lorem ipsum
શ્રેણી:ગુજરાતના જિલ્લાઓ	Категория:Округа Гуджарата
શ્રેણી:વિયેતનામમાં એરપોર્ટ	Категория:Аэропорты Вьетнама
ઢાંચો:Emergency-bot-shutoff	Шаблон:Аварийное выключение бота
ઢાંચો:Image label small	Шаблон:Image label small
ઢાંચો:Nihongo	Шаблон:Нихонго
ઢાંચો:Infobox military unit	Шаблон:Воинское формирование
ઢાંચો:Allcaps	Шаблон:Uppercase
ઢાંચો:S-ttl	Шаблон:S-ttl
ઢાંચો:Infobox stadium	Шаблон:Стадион
ઢાંચો:Cmbox	Шаблон:Cmbox
ઢાંચો:Precision	Шаблон:Precision
ઢાંચો:Infobox International Football Competition	Шаблон:Соревнование футбольных сборных
ઢાંચો:Infobox tennis player	Шаблон:Теннисист
ઢાંચો:S-bef	Шаблон:S-bef
ઢાંચો:Cite conference	Шаблон:Cite conference
ઢાંચો:Infobox political post	Шаблон:Государственная должность
શ્રેણી:ભારતના રાષ્ટ્રપતિ	Категория:Президенты Индии
ઢાંચો:S-par	Шаблон:S-par
ઢાંચો:Infobox UK place	Шаблон:НП-Великобритания
ઇસ પ્યાર કો ક્યા નામ દું?	Как назвать эту любовь?
ઢાંચો:અઠવાડિયાના વારનાં નામો	Шаблон:Неделя
ઢાંચો:Nobold	Шаблон:Nobold
ઉપનિષદ	Упанишады
ઢાંચો:Multicol-break	Шаблон:Multicol-break
ઢાંચો:Infobox game	Шаблон:Настольная игра
ઢાંચો:Country data West Germany	Шаблон:Флагификация/ФРГ
ઢાંચો:Lang-ru	Шаблон:Lang-ru
ઢાંચો:Country data East Germany	Шаблон:Флагификация/ГДР
ઢાંચો:@	Шаблон:@
શ્રેણી:Images	Категория:Википедия:Изображения
ઢાંચો:Polytonic	Шаблон:Polytonic
ઢાંચો:Family tree/start	Шаблон:Familytree/start
ઢાંચો:URL	Шаблон:URL
ઢાંચો:સંદિગ્ધ શીર્ષક	Шаблон:Неоднозначность
ઢાંચો:No	Шаблон:Не сделано
ઢાંચો:Doi	Шаблон:DOI
ઢાંચો:Fb	Шаблон:Футбол
ઢાંચો:Partial	Шаблон:Частично
ઢાંચો:Country data Madeira	Шаблон:Флагификация/Мадейра
ઢાંચો:Country data Azores	Шаблон:Флагификация/Азорские острова
ઢાંચો:Infobox film	Шаблон:Фильм
ઢાંચો:ભારતના રાષ્ટ્રપતિ	Шаблон:Президенты Индии
ઢાંચો:Country data Ottoman Empire	Шаблон:Флагификация/Османская империя
ઢાંચો:Nutritionalvalue	Шаблон:Питательный состав
ઢાંચો:Infobox philosopher	Шаблон:Философ
ઢાંચો:High-risk	Шаблон:СИШ
ઢાંચો:Infobox organisation	Шаблон:Организация
ઢાંચો:Audio-IPA	Шаблон:Audio-IPA
ઢાંચો:CategoryTOC	Шаблон:Индекс категории
ઢાંચો:Infobox treaty	Шаблон:Договор
ઢાંચો:Str rightc	Шаблон:Str rightc
ઢાંચો:Infobox military installation	Шаблон:Военное сооружение
શ્રેણી:મધ્ય પ્રદેશના જિલ્લાઓ	Категория:Округа Мадхья-Прадеш
ઢાંચો:Infobox museum	Шаблон:Музей
ઢાંચો:Lang-fr	Шаблон:Lang-fr
ઢાંચો:FRA	Шаблон:FRA
ઢાંચો:Pending	Шаблон:Ожидается
ઢાંચો:માહિતીચોકઠું વ્યક્તિ	Шаблон:Персона
ઢાંચો:Geological range	Шаблон:Диапазон времени
ઢાંચો:?	Шаблон:Неизвестно1
ઢાંચો:Country data Israel	Шаблон:Флагификация/Израиль
ઢાંચો:Country data Ukraine	Шаблон:Флагификация/Украина
ઢાંચો:Country data Colombia	Шаблон:Флагификация/Колумбия
ઢાંચો:Country data Pakistan	Шаблон:Флагификация/Пакистан
ઢાંચો:Country data Ghana	Шаблон:Флагификация/Гана
ઢાંચો:Country data South Korea	Шаблон:Флагификация/Республика Корея
શ્રેણી:કેરળ	Категория:Керала
ઢાંચો:Convert	Шаблон:Convert
ઢાંચો:Country data Sint Eustatius	Шаблон:Флагификация/Синт-Эстатиус
ઢાંચો:Infobox football tournament	Шаблон:Карточка футбольного турнира
ઢાંચો:Copy edit	Шаблон:Опечатки
ઢાંચો:Coord	Шаблон:Coord
ઢાંચો:Country data Idaho	Шаблон:Флагификация/Айдахо
ઢાંચો:Dmoz	Шаблон:Dmoz
ઢાંચો:Country data Bohemia	Шаблон:Флагификация/Богемия
ઢાંચો:Country data Bahrain	Шаблон:Флагификация/Бахрейн
ઢાંચો:યુરોપ	Шаблон:Страны Европы
ઢાંચો:WikiProjectBannerShell	Шаблон:ВП-проекты
શ્રેણી:User fr	Категория:User fr
શ્રેણી:User hi-3	Категория:User hi-3
શ્રેણી:User fr-N	Категория:User fr-N
ઢાંચો:Cite video	Шаблон:Cite video
ઢાંચો:IncreaseNegative	Шаблон:Негативный рост
ઢાંચો:Catmore	Шаблон:Основная статья по теме категории
શ્રેણી:User de	Категория:User de
શ્રેણી:User en-3	Категория:User en-3
શ્રેણી:User en-N	Категория:User en-N
ઢાંચો:કોમ્પ્યુટરના મૂળભૂત ઘટકો	Шаблон:Компоненты компьютера
ઢાંચો:N/a	Шаблон:N/a
પોરબંદર	Порбандар
ઢાંચો:Country data Germany	Шаблон:Флагификация/Германия
ઢાંચો:Country data United Kingdom	Шаблон:Флагификация/Великобритания
ઢાંચો:Location map Greater London	Шаблон:ПозКарта Великобритания Большой Лондон
ઢાંચો:Country data Estonian SSR	Шаблон:Флагификация/Эстонская ССР
ઢાંચો:માહિતીચોકઠું રોગ	Шаблон:Болезнь
ઢાંચો:Country data Scotland	Шаблон:Флагификация/Шотландия
ઢાંચો:Color sample	Шаблон:Colorsample
ઢાંચો:Country data Estonia	Шаблон:Флагификация/Эстония
ઢાંચો:Country data Montenegro	Шаблон:Флагификация/Черногория
ઢાંચો:Weather box	Шаблон:Климат местности
ઢાંચો:Su	Шаблон:Su
ઢાંચો:Confuse	Шаблон:Не путать
શ્રેણી:નવેમ્બર	Категория:Ноябрь
શ્રેણી:માર્ચ	Категория:Март
શ્રેણી:સપ્ટેમ્બર	Категория:Сентябрь
શ્રેણી:ઓક્ટોબર	Категория:Октябрь
ઢાંચો:Only in print	Шаблон:Only in print
શ્રેણી:ડિસેમ્બર	Категория:Декабрь
શ્રેણી:ઓગસ્ટ	Категория:Август
શ્રેણી:મે	Категория:Май
ઢાંચો:No2	Шаблон:No2
ઢાંચો:Rp	Шаблон:Rp
ઢાંચો:Country data Korean Empire	Шаблон:Флагификация/Корейская империя
શ્રેણી:ઇંગ્લેન્ડ	Категория:Англия
અર્થીંગ	Заземление
શ્રેણી:એપ્રિલ	Категория:Апрель
ઢાંચો:Str ≥ len	Шаблон:Str ≥ len
