افریقہ	Африка
زمرہ:ناروے کے پارک	Категория:Парки Норвегии
زمرہ:گوئٹے مالا کے قومی پارک	Категория:Национальные парки Гватемалы
سانچہ:Location map Scotland Perth and Kinross	Шаблон:ПозКарта Великобритания Перт и Кинросс
زمرہ:کیوبا کے قومی پارک	Категория:Национальные парки Кубы
زمرہ:کولمبیا کے قومی پارک	Категория:Национальные парки Колумбии
زمرہ:کروشیا کے قومی پارک	Категория:Национальные парки Хорватии
زمرہ:جنوبی کوریا کے قومی پارک	Категория:Национальные парки Южной Кореи
زمرہ:کیمرون کے قومی پارک	Категория:Национальные парки Камеруна
زمرہ:کمبوڈیا کے قومی پارک	Категория:Национальные парки Камбоджи
زمرہ:کوسٹاریکا کے قومی پارک	Категория:Национальные парки Коста-Рики
زمرہ:جاپان کے قومی پارک	Категория:Национальные парки Японии
زمرہ:پیرو کے قومی پارک	Категория:Национальные парки Перу
زمرہ:پرتگال کے قومی پارک	Категория:Национальные парки Португалии
زمرہ:پاکستان کے نیشنل پارک	Категория:Национальные парки Пакистана
زمرہ:پاناما کے قومی پارک	Категория:Национальные парки Панамы
زمرہ:بھوٹان کے قومی پارک	Категория:Национальные парки Бутана
زمرہ:ہونڈوراس کے قومی پارک	Категория:Национальные парки Гондураса
زمرہ:نیدرلینڈز کے قومی پارک	Категория:Национальные парки Нидерландов
زمرہ:نائجر کے قومی پارک	Категория:Национальные парки Нигера
زمرہ:ناروے کے قومی پارک	Категория:Национальные парки Норвегии
زمرہ:نمیبیا کے قومی پارک	Категория:Национальные парки Намибии
زمرہ:مونٹینیگرو کے قومی پارک	Категория:Национальные парки Черногории
زمرہ:موریتانیہ کے قومی پارک	Категория:Национальные парки Мавритании
زمرہ:منگولیا کے قومی پارک	Категория:Национальные парки Монголии
زمرہ:ملائیشیا کے قومی پارک	Категория:Национальные парки Малайзии
زمرہ:ملاوی کے قومی پارک	Категория:Национальные парки Малави
زمرہ:قازقستان کے قومی پارک	Категория:Национальные парки Казахстана
زمرہ:گھانا کے قومی پارک	Категория:Национальные парки Ганы
زمرہ:سربیا کے قومی پارک	Категория:Национальные парки Сербии
زمرہ:جنوبی سوڈان کے قومی پارک	Категория:Национальные парки Южного Судана
زمرہ:سوڈان کے قومی پارک	Категория:Национальные парки Судана
زمرہ:سویٹزرلینڈ کے قومی پارک	Категория:Национальные парки Швейцарии
زمرہ:سینیگال کے قومی پارک	Категория:Национальные парки Сенегала
زمرہ:روانڈا کے قومی پارک	Категория:Национальные парки Руанды
زمرہ:جمہوریہ کانگو کے قومی پارک	Категория:Национальные парки Республики Конго
زمرہ:جمہوریہ ڈومینیکن کے قومی پارک	Категория:Национальные парки Доминиканской Республики
زمرہ:جمہوری جمہوریہ کانگو کے قومی پارک	Категория:Национальные парки Демократической Республики Конго
زمرہ:تونس کے قومی پارک	Категория:Национальные парки Туниса
زمرہ:تائیوان کے قومی پارک	Категория:Национальные парки Китайской Республики
زمرہ:تھائی لینڈ کے قومی پارک	Категория:Национальные парки Таиланда
زمرہ:برکینا فاسو کے قومی پارک	Категория:Национальные парки Буркина-Фасо
زمرہ:بوٹسوانا کے قومی پارک	Категория:Национальные парки Ботсваны
زمرہ:بینن کے قومی پارک	Категория:Национальные парки Бенина
زمرہ:بلغاریہ کے قومی پارک	Категория:Национальные парки Болгарии
زمرہ:برازیل کے قومی پارک	Категория:Национальные парки Бразилии
زمرہ:یوکرین کے قومی پارک	Категория:Национальные парки Украины
سانچہ:Country data Alabama	Шаблон:Флагификация/Алабама
زمرہ:سلووینیا کے قومی پارک	Категория:Национальные парки Словении
زمرہ:ازبکستان کے قومی پارک	Категория:Национальные парки Узбекистана
سانچہ:Country data Alagoas	Шаблон:Флагификация/Алагоас
سانچہ:Country data Alaska	Шаблон:Флагификация/Аляска
زمرہ:کینیا کے پارک	Категория:Сады и парки Кении
زمرہ:کینیڈا کے پارک	Категория:Парки Канады
سانچہ:Country data Alberta	Шаблон:Флагификация/Альберта
سانچہ:Location map United Kingdom Dorset	Шаблон:ПозКарта Великобритания Дорсет
زمرہ:پولینڈ کے پارک	Категория:Парки Польши
زمرہ:چین کے پارک	Категория:Парки Китая
سانچہ:Location map United Kingdom County Durham	Шаблон:ПозКарта Великобритания Дарем
زمرہ:ایکواڈور کے پارک	Категория:Парки Эквадора
زمرہ:ارجنٹائن کے پارک	Категория:Сады и парки Аргентины
سانچہ:Lang-or	Шаблон:Lang-or
زمرہ:بھارتی پارلیمنٹ	Категория:Парламент Индии
زمرہ:پیراگوئے میں 1940ء کی دہائی	Категория:1940-е в Парагвае
زمرہ:پیراگوئے میں 1930ء کی دہائی	Категория:1930-е в Парагвае
زمرہ:پیراگوئے اولمپکس میں	Категория:Парагвай на Олимпийских играх
زمرہ:پارانا (ریاست)	Категория:Парана
سانچہ:Country data Kingdom of Bulgaria	Шаблон:Флагификация/Третье Болгарское царство
زمرہ:بادشاہتیں بلحاظ براعظم	Категория:Монархии по частям света
زمرہ:مملکت ناپولی	Категория:Неаполитанское королевство
زمرہ:آئینی بادشاہتیں	Категория:Конституционные монархии
زمرہ:مملکت مجارستان	Категория:Королевство Венгрия
زمرہ:سالہائے بھوٹان	Категория:Годы в Бутане
زمرہ:بھوٹان اولمپکس میں	Категория:Бутан на Олимпийских играх
زمرہ:ویگو	Категория:Виго
زمرہ:ویکی منصوبہ پاکستان	Категория:Проект:Пакистан
سانچہ:Country data Kingdom of Italy	Шаблон:Флагификация/Королевство Италия
زمرہ:ویکی منصوبہ سوانح نگاری	Категория:Проект:Персоналии
زمرہ:جنوبی کوریا اولمپکس میں	Категория:Южная Корея на Олимпийских играх
زمرہ:سویڈن اولمپکس میں	Категория:Швеция на Олимпийских играх
زمرہ:روس اولمپکس میں	Категория:Россия на Олимпийских играх
زمرہ:چیک جمہوریہ اولمپکس میں	Категория:Чехия на Олимпийских играх
زمرہ:وکٹر ہیوگو	Категория:Виктор Гюго
زمرہ:فریڈرک شوپن	Категория:Фредерик Шопен
زمرہ:ویرانے	Категория:Руины
زمرہ:سالہائے ویتنام	Категория:Годы во Вьетнаме
زمرہ:ویتنام میں 1990ء کی دہائی	Категория:1990-е во Вьетнаме
زمرہ:ویتنام میں 1970ء کی دہائی	Категория:1970-е во Вьетнаме
زمرہ:ویتنام میں 1940ء کی دہائی	Категория:1940-е во Вьетнаме
زمرہ:ویتنام اولمپکس میں	Категория:Вьетнам на Олимпийских играх
زمرہ:2012ء میں وینیزویلا	Категория:2012 год в Венесуэле
زمرہ:سالہائے وینیزویلا	Категория:Годы в Венесуэле
زمرہ:وینیزویلا میں 2010ء کی دہائی	Категория:2010-е в Венесуэле
زمرہ:وینیزویلا میں 1960ء کی دہائی	Категория:1960-е в Венесуэле
زمرہ:وینیزویلا میں 1950ء کی دہائی	Категория:1950-е в Венесуэле
زمرہ:وینیزویلا اولمپکس میں	Категория:Венесуэла на Олимпийских играх
زمرہ:گورنو بدخشاں خود مختار صوبہ	Категория:Горно-Бадахшанская автономная область
زمرہ:صوبہ بدخشاں	Категория:Бадахшан
زمرہ:ولادیمیر لینن	Категория:Владимир Ильич Ленин
زمرہ:تجارتی ناقلات	Категория:Коммерческий транспорт
زمرہ:برقی ناقلات	Категория:Электротранспорт
زمرہ:ناقلات بلحاظ قسم	Категория:Транспортные средства по типам
زمرہ:آسٹریا کے وزرائے خارجہ	Категория:Министры иностранных дел Австрии
زمرہ:البانیا کے وزرائے خارجہ	Категория:Министры иностранных дел Албании
زمرہ:وزیران	Категория:Визири
زمرہ:وزرائے یونان	Категория:Министры Греции
زمرہ:وزرائے گیبون	Категория:Министры Габона
زمرہ:وزرائے کولمبیا	Категория:Министры Колумбии
زمرہ:وزرائے کروشیا	Категория:Министры Хорватии
زمرہ:وزرائے شمالی کوریا	Категория:Министры КНДР
زمرہ:وزرائے کینیڈا	Категория:Министры Канады
زمرہ:وزرائے کمبوڈیا	Категория:Министры Камбоджи
زمرہ:وزرائے کوسٹاریکا	Категория:Министры Коста-Рики
زمرہ:وزرائے پیرو	Категория:Министры Перу
زمرہ:وزرائے پاکستان	Категория:Министры Пакистана
زمرہ:وزرائے بھوٹان	Категория:Министры Бутана
زمرہ:وزرائے ویتنام	Категория:Министры Вьетнама
زمرہ:وزرائے بھارت	Категория:Министры Индии
زمرہ:وزرائے ہیٹی	Категория:Министры Гаити
زمرہ:وزرائے نکاراگوا	Категория:Министры Никарагуа
زمرہ:وزرائے نیپال	Категория:Министры Непала
زمرہ:وزرائے ناروے	Категория:Министры Норвегии
زمرہ:وزرائے اتحاد القمری	Категория:Министры Комор
زمرہ:وزرائے ملائیشیا	Категория:Министры Малайзии
زمرہ:وزرائے مالٹا	Категория:Министры Мальты
زمرہ:وزرائے ملاوی	Категория:Министры Малави
زمرہ:وزرائے مڈغاسکر	Категория:Министры Мадагаскара
زمرہ:وزرائے لکسمبرگ	Категория:Министры Люксембурга
زمرہ:وزرائے قازقستان	Категория:Министры Казахстана
زمرہ:وزرائے کرغیزستان	Категория:Министры Киргизии
زمرہ:وزرائے قبرص	Категория:Министры Кипра
زمرہ:وزرائے فن لینڈ	Категория:Министры Финляндии
زمرہ:وزرائے سربیا	Категория:Министры Сербии
زمرہ:وزرائے چلی	Категория:Министры Чили
زمرہ:وزرائے سوازی لینڈ	Категория:Министры Свазиленда
زمرہ:وزرائے ڈنمارک	Категория:Министры Дании
زمرہ:وزرائے جبوتی	Категория:Министры Джибути
زمرہ:وزرائے چیک جمہوریہ	Категория:Министры Чехии
زمرہ:وزرائے جمہوریہ مقدونیہ	Категория:Министры Республики Македонии
زمرہ:وزرائے چین	Категория:Министры Китая
زمرہ:وزرائے ٹونگا	Категория:Министры Тонга
زمرہ:تووا	Категория:Тыва
زمرہ:وزرائے ترکمانستان	Категория:Министры Туркмении
زمرہ:وزرائے تھائی لینڈ	Категория:Министры Таиланда
زمرہ:وزرائے بولیویا	Категория:Министры Боливии
زمرہ:وزرائے بینن	Категория:Министры Бенина
زمرہ:وزرائے بنگلہ دیش	Категория:Министры Бангладеш
زمرہ:وزرائے بلجئیم	Категория:Министры Бельгии
زمرہ:وزرائے برازیل	Категория:Министры Бразилии
زمرہ:وزرائے آئس لینڈ	Категория:Министры Исландии
زمرہ:وزرائے انڈونیشیا	Категория:Министры Индонезии
زمرہ:وزرائے سلووینیا	Категория:Министры Словении
زمرہ:وزرائے استونیا	Категория:Министры Эстонии
زمرہ:وزرائے آسٹریلیا	Категория:Министры Австралии
زمرہ:وزرائے ازبکستان	Категория:Министры Узбекистана
زمرہ:وزرائے انگولہ	Категория:Министры Анголы
زمرہ:وزرائے البانیا	Категория:Министры Албании
زمرہ:وزرائے ابخازيا	Категория:Министры Республики Абхазия
زمرہ:گیند والی کھیلیں	Категория:Игры с мячом
سائٹ ٹاؤن	Синдская торгово-промышленная зона
زمرہ:حکومت ایران	Категория:Государственное устройство Ирана
سانچہ:Infobox ski area	Шаблон:Горнолыжный курорт
زمرہ:افریقہ میں نقل و حمل	Категория:Транспорт в Африке
زمرہ:بینک	Категория:Банки
زمرہ:وزرائے پولینڈ	Категория:Министры Польши
زمرہ:افریقہ کی معیشت	Категория:Экономика Африки
صدر ٹاؤن	Саддар
سیدپور، اسلام آباد	Саидпур (Исламабад)
زمرہ:کھیلیں بلحاظ براعظم اور کھیل	Категория:Спорт по континентам
زمرہ:اونٹاریو کی کاؤنٹیاں	Категория:Административное деление Онтарио
زمرہ:مواقع جال بلحاظ موضوع	Категория:Сайты по тематике
زمرہ:فارسی الفاظ اور جملے	Категория:Персидские фразы
زمرہ:فنی اصطلاحات	Категория:Искусствоведческие термины
زمرہ:مشعہ اصطلاحات	Категория:Терминология радиовещания
زمرہ:لعبہ اصطلاحات	Категория:Игровой жаргон
زمرہ:سالہائے وانواتو	Категория:Годы в Вануату
زمرہ:وانواتو اولمپکس میں	Категория:Вануату на Олимпийских играх
زمرہ:والدہ سلطان	Категория:Валиде-султаны
زمرہ:وارنا	Категория:Варна
سین-فوے–سلرے–کیپ-روگے	Сент-Фуа-Сийери-Кап-Руж
زمرہ:ہیسٹینگز	Категория:Гастингс
زمرہ:معالجہ المثلیہ	Категория:Гомеопатия
زمرہ:ہوبارٹ	Категория:Хобарт
زمرہ:ہوانتضام ہوائیہ	Категория:Самолёты ДРЛО
زمرہ:دریائے زرد	Категория:Хуанхэ
زمرہ:استوائی گنی میں ہوابازی	Категория:Авиация Экваториальной Гвинеи
زمرہ:جارجیا میں ہوابازی	Категория:Авиация Грузии
زمرہ:گیبون میں ہوابازی	Категория:Авиация Габона
زمرہ:کیوبا میں ہوابازی	Категория:Авиация Кубы
زمرہ:کولمبیا میں ہوابازی	Категория:Авиация Колумбии
زمرہ:کروشیا میں ہوابازی	Категория:Авиация Хорватии
زمرہ:جنوبی کوریا میں ہوابازی	Категория:Авиация Южной Кореи
زمرہ:کینیڈا میں ہوابازی	Категория:Авиация Канады
زمرہ:کیمرون میں ہوابازی	Категория:Авиация Камеруна
زمرہ:کمبوڈیا میں ہوابازی	Категория:Авиация Камбоджи
زمرہ:جاپان میں ہوابازی	Категория:Авиация Японии
زمرہ:پیرو میں ہوابازی	Категория:Авиация Перу
زمرہ:پرتگال میں ہوابازی	Категория:Авиация Португалии
زمرہ:پاکستان میں ہوابازی	Категория:Авиация Пакистана
زمرہ:پاپوا نیو گنی میں ہوابازی	Категория:Авиация Папуа — Новой Гвинеи
زمرہ:پاناما میں ہوابازی	Категория:Авиация Панамы
زمرہ:پیراگوئے میں ہوابازی	Категория:Авиация Парагвая
زمرہ:ویتنام میں ہوابازی	Категория:Авиация Вьетнама
زمرہ:وینیزویلا میں ہوابازی	Категория:Авиация Венесуэлы
زمرہ:وانواتو میں ہوابازی	Категория:Авиация Вануату
زمرہ:نیدرلینڈز میں ہوابازی	Категория:Авиация Нидерландов
زمرہ:ہیٹی میں ہوابازی	Категория:Авиация Гаити
زمرہ:نیوزی لینڈ میں ہوابازی	Категория:Авиация Новой Зеландии
زمرہ:نائجیریا میں ہوابازی	Категория:Авиация Нигерии
زمرہ:نیپال میں ہوابازی	Категория:Авиация Непала
زمرہ:ناروے میں ہوابازی	Категория:Авиация Норвегии
زمرہ:میکسیکو میں ہوابازی	Категория:Авиация Мексики
زمرہ:مالدووا میں ہوابازی	Категория:Авиация Молдавии
زمرہ:مصر میں ہوابازی	Категория:Авиация Египта
زمرہ:ملائیشیا میں ہوابازی	Категория:Авиация Малайзии
زمرہ:لیبیا میں ہوابازی	Категория:Авиация Ливии
زمرہ:لکسمبرگ میں ہوابازی	Категория:Авиация Люксембурга
زمرہ:قازقستان میں ہوابازی	Категория:Авиация Казахстана
زمرہ:فجی میں ہوابازی	Категория:Авиация Фиджи
زمرہ:فن لینڈ میں ہوابازی	Категория:Авиация Финляндии
زمرہ:گھانا میں ہوابازی	Категория:Авиация Ганы
زمرہ:سربیا میں ہوابازی	Категория:Авиация Сербии
زمرہ:صومالیہ میں ہوابازی	Категория:Авиация Сомали
زمرہ:شام میں ہوابازی	Категория:Авиация Сирии
زمرہ:سرینام میں ہوابازی	Категория:Авиация Суринама
زمرہ:جنوبی سوڈان میں ہوابازی	Категория:Авиация Южного Судана
زمرہ:سوازی لینڈ میں ہوابازی	Категория:Авиация Свазиленда
زمرہ:سویٹزرلینڈ میں ہوابازی	Категория:Авиация Швейцарии
زمرہ:سنگاپور میں ہوابازی	Категория:Авиация Сингапура
زمرہ:ہسپانیہ میں سیاحت	Категория:Туризм в Испании
زمرہ:سامووا میں ہوابازی	Категория:Авиация Самоа
زمرہ:ساؤ ٹومے و پرنسپے میں ہوابازی	Категория:Авиация Сан-Томе и Принсипи
زمرہ:زیمبیا میں ہوابازی	Категория:Авиация Замбии
زمرہ:چیک جمہوریہ میں ہوابازی	Категория:Авиация Чехии
زمرہ:جمہوری جمہوریہ کانگو میں ہوابازی	Категория:Авиация Демократической Республики Конго
زمرہ:چین میں ہوابازی	Категория:Авиация Китая
زمرہ:آئرلینڈ میں ہوابازی	Категория:Авиация Ирландии
زمرہ:جزائر سلیمان میں ہوابازی	Категория:Авиация Соломоновых островов
زمرہ:جمیکا میں ہوابازی	Категория:Авиация Ямайки
زمرہ:ٹونگا میں ہوابازی	Категория:Авиация Тонга
زمرہ:فن لینڈ کے سفراء	Категория:Послы Финляндии
زمرہ:تائیوان میں ہوابازی	Категория:Авиация Китайской Республики
زمرہ:تھائی لینڈ میں ہوابازی	Категория:Авиация Таиланда
زمرہ:تاجکستان میں ہوابازی	Категория:Авиация Таджикистана
زمرہ:برکینا فاسو میں ہوابازی	Категория:Авиация Буркина-Фасо
زمرہ:بنگلہ دیش میں ہوابازی	Категория:Авиация Бангладеш
زمرہ:بلجئیم میں ہوابازی	Категория:Авиация Бельгии
زمرہ:برطانیہ میں ہوابازی	Категория:Авиация Великобритании
زمرہ:برونائی میں ہوابازی	Категория:Авиация Брунея
زمرہ:برازیل میں ہوابازی	Категория:Авиация Бразилии
زمرہ:ایران میں ہوابازی	Категория:Авиация Ирана
زمرہ:ایکواڈور میں ہوابازی	Категория:Авиация Эквадора
زمرہ:یوگنڈا میں ہوابازی	Категория:Авиация Уганды
زمرہ:یوکرین میں ہوابازی	Категория:Авиация Украины
زمرہ:انڈونیشیا میں ہوابازی	Категория:Авиация Индонезии
زمرہ:متحدہ عرب امارات میں ہوابازی	Категория:Авиация Объединённых Арабских Эмиратов
زمرہ:افغانستان میں ہوابازی	Категория:Авиация Афганистана
زمرہ:ہسپانیہ میں ہوابازی	Категория:Авиация Испании
زمرہ:سلووینیا میں ہوابازی	Категория:Авиация Словении
زمرہ:استونیا میں ہوابازی	Категория:Авиация Эстонии
زمرہ:اریتریا میں ہوابازی	Категория:Авиация Эритреи
زمرہ:یوراگوئے میں ہوابازی	Категория:Авиация Уругвая
زمرہ:آسٹریا میں ہوابازی	Категория:Авиация Австрии
زمرہ:البانیا میں ہوابازی	Категория:Авиация Албании
زمرہ:گیانا کی زبانیں	Категория:Языки Гайаны
زمرہ:لیختینستائن کی زبانیں	Категория:Языки Лихтенштейна
زمرہ:جمہوریہ مقدونیہ کی زبانیں	Категория:Языки Республики Македонии
زمرہ:وانواتو کی زبانیں	Категория:Языки Вануату
زمرہ:برونڈی کی زبانیں	Категория:Языки Бурунди
زمرہ:برازیل کی زبانیں	Категория:Языки Бразилии
زمرہ:افغانستان کی زبانیں	Категория:Языки Афганистана
زمرہ:البانیا کی زبانیں	Категория:Языки Албании
زمرہ:پاپوا نیو گنی کی زبانیں	Категория:Языки Папуа — Новой Гвинеи
زمرہ:ناروے میں سیاحت	Категория:Туризм в Норвегии
زمرہ:خواتین ہواباز	Категория:Женщины-авиаторы
زمرہ:لتھووینیا میں سیاحت	Категория:Туризм в Литве
زمرہ:سویڈن میں سیاحت	Категория:Туризм в Швеции
زمرہ:سنگاپور میں سیاحت	Категория:Туризм в Сингапуре
زمرہ:استونیا میں سیاحت	Категория:Туризм в Эстонии
زمرہ:یوکرین میں سیاحت	Категория:Туризм на Украине
زمرہ:پاکستان میں سیاحت	Категория:Туризм в Пакистане
زمرہ:اطالوی ادب	Категория:Литература Италии
زمرہ:پاکستانی ایوان عکس	Категория:Кинематограф Пакистана
زمرہ:جنوبی کوریا میں فنون	Категория:Искусство Южной Кореи
زمرہ:منگولیا میں فنون	Категория:Искусство Монголии
زمرہ:آئرلینڈ میں فنون	Категория:Искусство Ирландии
زمرہ:یوکرین میں فنون	Категория:Искусство Украины
زمرہ:اسرائیلی فنون	Категория:Искусство Израиля
زمرہ:پاکستان میں فنون	Категория:Искусство Пакистана
زمرہ:پرتگال میں فنون	Категория:Искусство Португалии
زمرہ:سالہائے ہانگ کانگ	Категория:Годы в Гонконге
زمرہ:ہانگ کانگ اولمپکس میں	Категория:Гонконг на Олимпийских играх
زمرہ:ایرانی طباخی	Категория:Иранская кухня
سانچہ:Country data Puntland	Шаблон:Флагификация/Пунтленд
زمرہ:عراق میں فنون	Категория:Искусство Ирака
سانچہ:Country data La Rioja (Argentina)	Шаблон:Флагификация/Ла-Риоха (Аргентина)
زمرہ:سلسلہ کوہ ہندوکش	Категория:Гиндукуш
زمرہ:2008ء میں بھارت	Категория:2008 год в Индии
زمرہ:2006ء میں بھارت	Категория:2006 год в Индии
زمرہ:سالہائے ہونڈوراس	Категория:Годы в Гондурасе
زمرہ:ہونڈوراس اولمپکس میں	Категория:Гондурас на Олимпийских играх
زمرہ:ایشیاء میں ہندومت	Категория:Индуизм в Азии
زمرہ:ہندویات	Категория:Индология
زمرہ:بحر ہندسہ	Категория:Метрическая геометрия
زمرہ:2009ء میں بھارت	Категория:2009 год в Индии
زمرہ:2001ء میں بھارت	Категория:2001 год в Индии
زمرہ:بھارت میں 1999ء	Категория:1999 год в Индии
زمرہ:شمالی کوریا کی عمارات و ساخات	Категория:Здания и сооружения КНДР
زمرہ:بھارت میں 1970ء کی دہائی	Категория:1970-е в Индии
زمرہ:بھارت میں 1960ء کی دہائی	Категория:1960-е в Индии
زمرہ:بھارت میں 1940ء کی دہائی	Категория:1940-е в Индии
زمرہ:ہیملٹن، انٹاریو	Категория:Гамильтон (Онтарио)
سنایا ایرانی	Ирани, Санайя
زمرہ:شمصر	Категория:Гелий
زمرہ:2000ء میں ہالینڈ	Категория:2000 год в Нидерландах
زمرہ:ہالینڈ میں 1989ء	Категория:1989 год в Нидерландах
زمرہ:ہالینڈ میں 1986ء	Категория:1986 год в Нидерландах
زمرہ:ہالینڈ میں 1982ء	Категория:1982 год в Нидерландах
زمرہ:سالہائے نیدرلینڈز	Категория:Годы в Нидерландах
زمرہ:ہالینڈ میں 1990ء کی دہائی	Категория:1990-е в Нидерландах
زمرہ:ہالینڈ میں 1980ء کی دہائی	Категория:1980-е в Нидерландах
زمرہ:ہالینڈ میں 1970ء کی دہائی	Категория:1970-е в Нидерландах
زمرہ:ہالینڈ میں 1960ء کی دہائی	Категория:1960-е в Нидерландах
زمرہ:ہالینڈ میں 1940ء کی دہائی	Категория:1940-е в Нидерландах
زمرہ:نیدرلینڈز اولمپکس میں	Категория:Нидерланды на Олимпийских играх
زمرہ:جاپان کے سفراء	Категория:Послы Японии
ویکیپیڈیا:دستاویز سانچہ	Википедия:Документация шаблонов
زمرہ:سڑکوں کی اقسام	Категория:Типы дорог
زمرہ:اوقیانوسی معاشرہ	Категория:Общество Океании
زمرہ:مذہب بلحاظ شہر	Категория:Религия по городам
زمرہ:عبادت گاہیں بلحاظ شہر	Категория:Культовые сооружения по городам
زمرہ:فرانس کے ہوٹل	Категория:Гостиницы Франции
زمرہ:روس میں قدیم لوگ	Категория:Древние народы России
زمرہ:الف لیلہ و لیلہ	Категория:Тысяча и одна ночь
زمرہ:یونان کے ہوٹل	Категория:Гостиницы Греции
زمرہ:شمالی کوریا کے ہوٹل	Категория:Гостиницы КНДР
زمرہ:جاپان کے ہوٹل	Категория:Гостиницы Японии
زمرہ:بھارت کے ہوٹل	Категория:Гостиницы Индии
زمرہ:لٹویا کے ہوٹل	Категория:Гостиницы Латвии
زمرہ:قازقستان کے ہوٹل	Категория:Гостиницы Казахстана
زمرہ:استوائی گنی میں ہوائی حادثات و واقعات	Категория:Авиационные происшествия в Экваториальной Гвинее
زمرہ:سویٹزرلینڈ کے ہوٹل	Категория:Гостиницы Швейцарии
زمرہ:سویڈن کے ہوٹل	Категория:Гостиницы Швеции
زمرہ:سنگاپور کے ہوٹل	Категория:Гостиницы Сингапура
زمرہ:سری لنکا کے ہوٹل	Категория:Гостиницы Шри-Ланки
زمرہ:روس کے ہوٹل	Категория:Гостиницы России
زمرہ:آئس لینڈ کے دوطرفہ تعلقات	Категория:Двусторонние отношения Исландии
زمرہ:آذربائیجان کے ہوٹل	Категория:Гостиницы Азербайджана
زمرہ:سالہائے مصر	Категория:Годы в Египте
زمرہ:ترکمانستان کے ہوٹل	Категория:Гостиницы Туркмении
زمرہ:برطانیہ کے ہوٹل	Категория:Гостиницы Великобритании
زمرہ:یوکرین کے ہوٹل	Категория:Гостиницы Украины
زمرہ:کینیڈا میں قدرتی آفات	Категория:Стихийные бедствия в Канаде
زمرہ:اسرائیل کے ہوٹل	Категория:Гостиницы Израиля
زمرہ:جرمنی کے ہوٹل	Категория:Гостиницы Германии
زمرہ:2008ء میں ہیٹی	Категория:2008 год на Гаити
زمرہ:فیلڈ ہاکی	Категория:Хоккей на траве
زمرہ:ہنوئی	Категория:Ханой
ستیا نادیلا	Наделла, Сатья
زمرہ:ہالی وڈ	Категория:Голливуд
زمرہ:جنوبی افریقہ کی آبشاریں	Категория:Водопады ЮАР
زمرہ:ثقیلہ	Категория:Адроны
زمرہ:ہیٹی میں 1994ء	Категория:1994 год на Гаити
زمرہ:نیکوسیا	Категория:Никосия
زمرہ:2012ء میں نیوزی لینڈ	Категория:2012 год в Новой Зеландии
زمرہ:2009ء میں نیوزی لینڈ	Категория:2009 год в Новой Зеландии
زمرہ:2007ء میں نیوزی لینڈ	Категория:2007 год в Новой Зеландии
زمرہ:2004ء میں نیوزی لینڈ	Категория:2004 год в Новой Зеландии
زمرہ:سالہائے نیوزی لینڈ	Категория:Годы в Новой Зеландии
زمرہ:نیوزی لینڈ اولمپکس میں	Категория:Новая Зеландия на Олимпийских играх
زمرہ:نیمیخن	Категория:Неймеген
زمرہ:دریائے نیل	Категория:Нил
زمرہ:لٹویا میں نفاذ قانون	Категория:Полиция Латвии
زمرہ:فن لینڈ میں نفاذ قانون	Категория:Полиция Финляндии
زمرہ:فرانس میں نفاذ قانون	Категория:Правоохранительные органы Франции
زمرہ:اطالیہ میں نفاذ قانون	Категория:Полиция Италии
زمرہ:یوکرین میں نفاذ قانون	Категория:Правоохранительные органы Украины
زمرہ:کروشیا میں بجلی گھر	Категория:Электростанции Хорватии
زمرہ:پیراگوئے میں بجلی گھر	Категория:Электростанции Парагвая
زمرہ:بھوٹان میں بجلی گھر	Категория:Электростанции Бутана
زمرہ:وینیزویلا میں بجلی گھر	Категория:Электростанции Венесуэлы
زمرہ:بھارت میں بجلی گھر	Категория:Электростанции Индии
زمرہ:نیدرلینڈز میں بجلی گھر	Категория:Электростанции Нидерландов
زمرہ:چیک جمہوریہ کے جوہری بجلی گھر	Категория:Атомные электростанции Чехии
زمرہ:ناروے میں بجلی گھر	Категория:Электростанции Норвегии
زمرہ:مالدووا میں بجلی گھر	Категория:Электростанции Молдавии
زمرہ:موزمبیق میں بجلی گھر	Категория:Электростанции Мозамбика
زمرہ:پولینڈ میں بجلی گھر	Категория:Электростанции Польши
زمرہ:لٹویا میں بجلی گھر	Категория:Электростанции Латвии
زمرہ:کرغیزستان میں بجلی گھر	Категория:Электростанции Киргизии
زمرہ:گھانا میں بجلی گھر	Категория:Гидроэлектростанции Ганы
زمرہ:سربیا میں بجلی گھر	Категория:Электростанции Сербии
زمرہ:چلی میں بجلی گھر	Категория:Электростанции Чили
زمرہ:سویٹزرلینڈ میں بجلی گھر	Категория:Электростанции Швейцарии
زمرہ:سویڈن میں بجلی گھر	Категория:Электростанции Швеции
زمرہ:زمبابوے میں بجلی گھر	Категория:Электростанции Зимбабве
زمرہ:زیمبیا میں بجلی گھر	Категория:Электростанции Замбии
زمرہ:رومانیہ میں بجلی گھر	Категория:Электростанции Румынии
زمرہ:روس میں بجلی گھر	Категория:Электростанции России
زمرہ:چیک جمہوریہ میں بجلی گھر	Категория:Электростанции Чехии
زمرہ:آذربائیجان میں بجلی گھر	Категория:Электростанции Азербайджана
زمرہ:تائیوان میں بجلی گھر	Категория:Электростанции Тайваня
زمرہ:تنزانیہ میں بجلی گھر	Категория:Электростанции Танзании
زمرہ:تاجکستان میں بجلی گھر	Категория:Электростанции Таджикистана
زمرہ:برطانیہ میں بجلی گھر	Категория:Электростанции Великобритании
